; Bootstrap partitions and frequencies are shown below.
; Each partition is described by a string consisting of 0's and 1's
; where the nth character in the partition string represents the
; nth sequence in the input data. For a given partition, all sequences
; represented by a 1 cluster together and all sequences represented by
; a 0 cluster together.
; The frequency indicates the proportion of bootstrap replicates
; that give the same partition of sequences.
; Any partitions whose frequency was less than the frequency
; cutoff value have been excluded from these results.

No_of_Taxa=59
No_of_bootstrap_reps=1000
Frequency_cutoff=50%

11111110001111111111111111101111111111100000000000111000000	100%
11111110001111111011111111101111111111100000000000000000000	100%
11111110001111111011111111101111111111000000000000000000000	100%
10000110000000001000011111100011111000000000000000000000000	99%
01111000000001110011100000001100000000000000000000000000000	79%
01111000000001110011100000001000000000000000000000000000000	99%
00111000000001110011100000001000000000000000000000000000000	97%
00011000000001110011100000001000000000000000000000000000000	97%
00010000000001110011100000001000000000000000000000000000000	62%
00000001110000000000000000010000000000011111110001000111110	91%
00000001110000000000000000010000000000000111110001000110110	83%
00000001110000000000000000010000000000000111110000000000110	52%
00000001110000000000000000010000000000000110000000000000110	60%
00000001110000000000000000000000000000000110000000000000000	100%
00000001110000000000000000000000000000000100000000000000000	100%
00000001100000000000000000000000000000000100000000000000000	56%
00000001000000000000000000000000000000000100000000000000000	98%
00000000001010000000000000000000000100000000000000000000000	100%
00000000000100000000000000000000000011000000000000000000000	85%
00000000000100000000000000000000000001000000000000000000000	100%
00000000000010000000000000000000000100000000000000000000000	100%
00000000000000100000000000001000000000000000000000000000000	63%
00000000000000000100000000000000000000000000000000111000000	76%
00000000000000000100000000000000000000000000000000100000000	100%
00000000000000000000000000010000000000000000000000000000110	96%
00000000000000000000000000010000000000000000000000000000010	100%
00000000000000000000000000000001110000000000000000000000000	63%
00000000000000000000000000000000000000011000000000000001000	100%
00000000000000000000000000000000000000011000000000000000000	52%
00000000000000000000000000000000000000000001110000000000000	100%
00000000000000000000000000000000000000000000110000000000000	96%
00000000000000000000000000000000000000000000001110000000000	100%
00000000000000000000000000000000000000000000001100000000000	83%
00000000000000000000000000000000000000000000000001000110000	99%
00000000000000000000000000000000000000000000000000011000000	66%
00000000000000000000000000000000000000000000000000000110000	100%
