; Bootstrap partitions and frequencies are shown below.
; Each partition is described by a string consisting of 0's and 1's
; where the nth character in the partition string represents the
; nth sequence in the input data. For a given partition, all sequences
; represented by a 1 cluster together and all sequences represented by
; a 0 cluster together.
; The frequency indicates the proportion of bootstrap replicates
; that give the same partition of sequences.
; Any partitions whose frequency was less than the frequency
; cutoff value have been excluded from these results.

No_of_Taxa=53
No_of_bootstrap_reps=1000
Frequency_cutoff=50%

11111111111111111111001111111111100000000000111000000	100%
11111111111111111111001111111111100000000000000000000	100%
11111111111111111111001111111111000000000000000000000	99%
11110000000000000000001100000111000000000000000000000	54%
11110000000000000000000000000111000000000000000000000	57%
11110000000000000000000000000100000000000000000000000	100%
01110000000000000000000000000100000000000000000000000	100%
00110000000000000000000000000100000000000000000000000	100%
00010000000000000000000000000100000000000000000000000	100%
00001111111111111111000011111000000000000000000000000	100%
00001111100000000000000000001000000000000000000000000	66%
00000011000000000000000000000000000000000000000000000	63%
00000000100000000000000000001000000000000000000000000	66%
00000000011100000000000001110000000000000000000000000	61%
00000000001100000000000001000000000000000000000000000	64%
00000000000100000000000001000000000000000000000000000	64%
00000000000010001000000000000000000000000000000000000	89%
00000000000000000000110000000000011111110001000111110	91%
00000000000000000000110000000000000111110001000110110	91%
00000000000000000000010000000000000110000000000000110	51%
00000000000000000000010000000000000000000000000000110	93%
00000000000000000000010000000000000000000000000000010	100%
00000000000000000000001100000000000000000000000000000	85%
00000000000000000000000000000011000000000000000000000	83%
00000000000000000000000000000000011000000000000001000	100%
00000000000000000000000000000000011000000000000000000	55%
00000000000000000000000000000000000110000000000000000	100%
00000000000000000000000000000000000001110000000000000	100%
00000000000000000000000000000000000000110000000000000	98%
00000000000000000000000000000000000000001110000000000	100%
00000000000000000000000000000000000000001100000000000	86%
00000000000000000000000000000000000000000001000110000	98%
00000000000000000000000000000000000000000000111000000	77%
00000000000000000000000000000000000000000000011000000	67%
00000000000000000000000000000000000000000000000110000	100%
