; Bootstrap partitions and frequencies are shown below.
; Each partition is described by a string consisting of 0's and 1's
; where the nth character in the partition string represents the
; nth sequence in the input data. For a given partition, all sequences
; represented by a 1 cluster together and all sequences represented by
; a 0 cluster together.
; The frequency indicates the proportion of bootstrap replicates
; that give the same partition of sequences.
; Any partitions whose frequency was less than the frequency
; cutoff value have been excluded from these results.

No_of_Taxa=44
No_of_bootstrap_reps=1000
Frequency_cutoff=50%

10011111111101111111111100000000000111000000	100%
10011101111101111111111100000000000000000000	100%
10011101111101111111111000000000000000000000	99%
10000100011100011111000000000000000000000000	99%
01100000000010000000000011111110001000111110	93%
01100000000010000000000000111110001000110110	80%
01100000000010000000000000111110000000000110	54%
01100000000010000000000000110000000000000110	58%
01100000000000000000000000110000000000000000	100%
01100000000000000000000000100000000000000000	100%
01000000000000000000000000100000000000000000	98%
00011001100001100000111000000000000000000000	51%
00010000000000000000111000000000000000000000	51%
00010000000000000000100000000000000000000000	100%
00001001100001100000000000000000000000000000	81%
00001001100001000000000000000000000000000000	100%
00001001000001000000000000000000000000000000	54%
00001000000001000000000000000000000000000000	63%
00000010000000000000000000000000000111000000	77%
00000010000000000000000000000000000100000000	100%
00000000000010000000000000000000000000000110	97%
00000000000010000000000000000000000000000010	100%
00000000000000001110000000000000000000000000	63%
00000000000000000000011000000000000000000000	86%
00000000000000000000000011000000000000001000	100%
00000000000000000000000011000000000000000000	55%
00000000000000000000000000001110000000000000	100%
00000000000000000000000000000110000000000000	97%
00000000000000000000000000000001110000000000	100%
00000000000000000000000000000001100000000000	83%
00000000000000000000000000000000001000110000	99%
00000000000000000000000000000000000011000000	65%
00000000000000000000000000000000000000110000	100%
